callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1 ,altitude_1,latitude_2,longitude_2,altitude_2
SDM6408,nan,155c26,nan,nan,nan,UUEE,2022-02-01 04:08:25+00:00,2022-02-01 05:39:51+00:00,2022-02-01 00:00:00+00:00,61.56838989257812,50.60155596051897,2133.6,55.9833984375,37.49533913352273,563.88
RA67246,nan,1506ae,nan,nan,nan,UUWW,2022-02-01 04:15:33+00:00,2022-02-01 08:13:01+00:00,2022-02-01 00:00:00+00:00,56.31480071504237,84.92156982421875,2743.2,55.64968872070312,37.305908203125,624.84
RWZ1257,nan,155c6b,nan,nan,nan,UWKD,2022-02-01 04:16:20+00:00,2022-02-01 05:23:52+00:00,2022-02-01 00:00:00+00:00,55.41851806640625,61.20854994829963,3048.0,55.60753256587659,48.97284507751465,1691.64
RWZ389,nan,155c34,nan,nan,nan,UUDD,2022-02-01 04:22:36+00:00,2022-02-01 05:24:49+00:00,2022-02-01 00:00:00+00:00,57.6000148967161,48.30130300214214,9753.6,55.30666545286017,38.00944935191761,1005.84
UTA1011,UT1011,151d55,nan,nan,nan,nan,2022-02-01 04:24:07+00:00,2022-02-01 04:47:18+00:00,2022-02-01 00:00:00+00:00,56.19644165039062,58.17635276100852,10668.0,58.01572638042902,62.28909301757812,10668.0
SUM9607,nan,14f115,RA-61717,A148,UUBW,nan,2022-02-01 04:28:15+00:00,2022-02-01 06:29:20+00:00,2022-02-01 00:00:00+00:00,55.54343013440148,38.16822052001953,304.8,45.39397158865201,35.72425656202363,7924.8
SSF323,nan,155c1d,nan,nan,ULLI,nan,2022-02-01 04:28:36+00:00,2022-02-01 06:05:35+00:00,2022-02-01 00:00:00+00:00,59.79208374023438,30.27008056640625,304.8,63.26490783691406,51.55999990609976,7962.900000000001
AFL1343,nan,155bc4,RA-89028,SU95,nan,UUEE,2022-02-01 04:29:00+00:00,2022-02-01 04:43:09+00:00,2022-02-01 00:00:00+00:00,56.64648540949417,37.42483815839214,3352.8,56.00820922851562,37.51123601740056,853.44
4703,nan,1506b8,RA-67256,DH8D,UHBB,nan,2022-02-01 04:30:30+00:00,2022-02-01 05:04:59+00:00,2022-02-01 00:00:00+00:00,50.39305114746094,127.457668906764,914.4,49.50383590439618,131.9998416385135,7620.0
SDM6373,nan,155c23,nan,nan,UUEE,nan,2022-02-01 04:36:24+00:00,2022-02-01 05:01:50+00:00,2022-02-01 00:00:00+00:00,55.96803309553761,37.37686157226562,609.6,57.77942722126588,39.51406860351562,10058.4
